Div	NumDataPts	0.5	0.75	0.9	0.95	0.99	0.999	0.9999
1	5971		0.94	1.19	1.43	1.58	1.92	2.31	2.66
2	11687		1.21	1.46	1.73	1.89	2.27	3.08	3.26
3	16021		1.43	1.75	2.10	2.39	3.00	3.36	3.69
4	15122		1.65	2.01	2.45	2.71	3.12	3.46	3.73
5	14077		1.75	2.12	2.52	2.81	3.43	4.35	4.82
6	16820		1.89	2.34	2.78	3.11	3.69	4.41	4.77
7	25280		2.03	2.51	2.98	3.29	3.89	4.63	5.31
8	29796		2.28	2.76	3.18	3.45	4.05	5.00	5.65
9	51727		2.50	3.09	3.55	3.79	4.25	5.06	5.89
10	91244		2.53	3.12	3.57	3.82	4.30	4.94	5.48
11	150480		2.57	3.11	3.62	3.89	4.31	4.83	5.37
12	192707		2.56	3.10	3.65	3.95	4.46	5.53	6.44
13	201523		2.51	3.04	3.59	3.97	4.93	6.10	6.77
14	192846		2.49	3.00	3.62	4.13	5.32	6.24	6.75
15	172994		2.51	3.06	3.82	4.49	5.57	6.33	6.77
16	158844		2.60	3.23	4.02	4.69	5.62	6.33	6.88
17	155158		2.69	3.27	4.01	4.68	5.65	6.49	7.14
18	165720		2.67	3.22	3.89	4.42	5.51	6.36	7.09
19	208108		2.57	3.19	3.91	4.42	5.50	6.69	7.45
20	301424		2.59	3.34	4.15	4.63	5.55	6.93	7.84
21	540297		2.65	3.43	4.25	4.67	5.46	6.77	7.87
22	926699		2.67	3.47	4.31	4.75	5.53	6.55	7.88
23	1374655		2.63	3.43	4.32	4.85	5.79	6.94	7.70
24	1636025		2.58	3.38	4.39	5.04	6.14	7.13	7.71
25	1594071		2.52	3.34	4.36	5.11	6.27	7.13	7.71
26	1351164		2.56	3.39	4.37	5.07	6.26	7.20	8.06
27	1102752		2.77	3.59	4.43	4.98	6.06	7.05	8.62
28	961056		3.04	3.77	4.45	4.87	5.76	6.90	8.58
29	760581		3.22	3.92	4.56	4.97	5.90	7.35	8.57
30	457388		3.38	4.10	4.78	5.22	6.23	7.60	8.48
